ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Sirajganj Sadar,BD508878,,,,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,314.330754558926
Sitakunda,BD201586,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,264.533715379285
Sonadanga,BD404785,,,,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,8.72889268598359
Sonagazi,BD203094,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,209.318339371521
Sonaimuri,BD207583,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,175.344162946944
Sonargaon,BD306704,,,,Narayanganj,BD3067,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,179.193565461944
Sonatola,BD501095,,,,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,156.644240169059
Sreebardi,BD458990,,,,Sherpur,BD4589,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,256.242190394083
Sreemangal,BD605883,,,,Maulvibazar,BD6058,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,431.062233859621
Sreenagar,BD305984,,,,Munshiganj,BD3059,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,198.957924045202
Sreepur,BD303386,,,,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,466.617324728376
Sreepur,BD405595,,,,Magura,BD4055,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,182.631036032276
Subarnachar,BD207585,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,508.991697680178
Sujanagar,BD507683,,,,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,328.869212346361
Sulla,BD609086,,,,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,263.706170892883
Sunamganj Sadar,BD609089,,,,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,278.311367706156
