year,month,rate_type,exchange_rate_value,end_of_period_rate,period_average_rate
2013,4,"US Dollars per National Currency,Period average",0.0128164214244427,0,1
2013,5,"National Currency per US Dollar, End of period",77.7509,1,0
2013,5,"National Currency per US Dollar, Period average",77.8339,0,1
2013,5,"US Dollars per National Currency,Period average",0.0128478721996457,0,1
2013,6,"National Currency per US Dollar, End of period",77.7593,1,0
2013,6,"National Currency per US Dollar, Period average",77.7521,0,1
2013,6,"US Dollars per National Currency,Period average",0.0128613889528386,0,1
2013,7,"National Currency per US Dollar, End of period",77.75,1,0
2013,7,"National Currency per US Dollar, Period average",77.7525,0,1
2013,7,"US Dollars per National Currency,Period average",0.0128613227870486,0,1
2013,8,"National Currency per US Dollar, End of period",77.75,1,0
2013,8,"National Currency per US Dollar, Period average",77.75022,0,1
2013,8,"US Dollars per National Currency,Period average",0.0128616999411706,0,1
2013,9,"National Currency per US Dollar, End of period",77.75,1,0
2013,9,"National Currency per US Dollar, Period average",77.7501,0,1
2013,9,"US Dollars per National Currency,Period average",0.0128617197920003,0,1
2013,10,"National Currency per US Dollar, End of period",77.75,1,0
2013,10,"National Currency per US Dollar, Period average",77.7502,0,1
2013,10,"US Dollars per National Currency,Period average",0.0128617032496379,0,1
2013,11,"National Currency per US Dollar, End of period",77.75,1,0
2013,11,"National Currency per US Dollar, Period average",77.7501,0,1
2013,11,"US Dollars per National Currency,Period average",0.0128617197920003,0,1
2013,12,"National Currency per US Dollar, End of period",77.75,1,0
2013,12,"National Currency per US Dollar, Period average",77.7505,0,1
2013,12,"US Dollars per National Currency,Period average",0.0128616536228063,0,1
2014,1,"National Currency per US Dollar, End of period",77.75,1,0
2014,1,"National Currency per US Dollar, Period average",77.7503,0,1
2014,1,"US Dollars per National Currency,Period average",0.0128616867073182,0,1
2014,2,"National Currency per US Dollar, End of period",77.7502,1,0
2014,2,"National Currency per US Dollar, Period average",77.7501,0,1
2014,2,"US Dollars per National Currency,Period average",0.0128617197920003,0,1
2014,3,"National Currency per US Dollar, End of period",77.6709,1,0
2014,3,"National Currency per US Dollar, Period average",77.7094,0,1
2014,3,"US Dollars per National Currency,Period average",0.0128684560683778,0,1
2014,4,"National Currency per US Dollar, End of period",77.65,1,0
2014,4,"National Currency per US Dollar, Period average",77.6623,0,1
2014,4,"US Dollars per National Currency,Period average",0.0128762604249423,0,1
2014,5,"National Currency per US Dollar, End of period",77.63,1,0
2014,5,"National Currency per US Dollar, Period average",77.6404,0,1
2014,5,"US Dollars per National Currency,Period average",0.0128798924271384,0,1
2014,6,"National Currency per US Dollar, End of period",77.63,1,0
2014,6,"National Currency per US Dollar, Period average",77.63,0,1
2014,6,"US Dollars per National Currency,Period average",0.0128816179312122,0,1
2014,7,"National Currency per US Dollar, End of period",77.52,1,0
2014,7,"National Currency per US Dollar, Period average",77.5932,0,1
2014,7,"US Dollars per National Currency,Period average",0.0128877272750705,0,1
2014,8,"National Currency per US Dollar, End of period",77.4002,1,0
2014,8,"National Currency per US Dollar, Period average",77.4558,0,1
2014,8,"US Dollars per National Currency,Period average",0.0129105890068917,0,1
2014,9,"National Currency per US Dollar, End of period",77.4,1,0
2014,9,"National Currency per US Dollar, Period average",77.4,0,1
2014,9,"US Dollars per National Currency,Period average",0.0129198966408269,0,1
2014,10,"National Currency per US Dollar, End of period",77.4087,1,0
2014,10,"National Currency per US Dollar, Period average",77.401,0,1
2014,10,"US Dollars per National Currency,Period average",0.0129197297192543,0,1
2014,11,"National Currency per US Dollar, End of period",77.9494,1,0
2014,11,"National Currency per US Dollar, Period average",77.8522,0,1
2014,11,"US Dollars per National Currency,Period average",0.0128448521685964,0,1
2014,12,"National Currency per US Dollar, End of period",77.9494,1,0
2014,12,"National Currency per US Dollar, Period average",77.8522,0,1
2014,12,"US Dollars per National Currency,Period average",0.0128448521685964,0,1
2015,1,"National Currency per US Dollar, End of period",77.8,1,0
2015,1,"National Currency per US Dollar, Period average",77.8713,0,1
2015,1,"US Dollars per National Currency,Period average",0.0128417016281993,0,1
2015,2,"National Currency per US Dollar, End of period",77.8,1,0
2015,2,"National Currency per US Dollar, Period average",77.8,0,1
2015,2,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,3,"National Currency per US Dollar, End of period",77.8,1,0
2015,3,"National Currency per US Dollar, Period average",77.8,0,1
2015,3,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,4,"National Currency per US Dollar, End of period",77.8,1,0
2015,4,"National Currency per US Dollar, Period average",77.8,0,1
2015,4,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,5,"National Currency per US Dollar, End of period",77.8,1,0
2015,5,"National Currency per US Dollar, Period average",77.8,0,1
